"","c","z"
"ch_10",0.722222222222222,-0.707106781186547
"ch_12",0.710059171597633,NA
"ch_14",0.461538461538462,-0.707106781186547
"ch_16",0.546712802768166,-0.5
"ch_18",0.6796875,NA
"ch_2",0.5,1.5
"ch_3",0.532871972318339,0.707106781186547
"ch_4",0.609375,-0.5
"ch_6",0.615,-0.5
"ch_7",0.7109375,0.707106781186547
